"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
1,1,1,1,1,1,0,0,20221202,20231209
2,0,0,0,0,0,0,0,20221202,20231209
3,1,1,1,1,1,0,0,20221202,20231209
4,1,1,1,1,1,0,0,20221202,20231209
5,0,0,0,0,0,0,0,20221202,20231209
6,1,1,1,1,1,0,0,20221202,20231209
7,1,1,1,1,0,0,0,20221202,20231209
8,0,0,0,0,0,0,0,20221202,20231209
9,1,0,1,0,1,0,0,20221202,20231209
10,1,1,1,1,0,0,0,20221202,20231209
11,0,0,0,0,0,1,0,20221202,20231209
12,0,0,0,0,0,1,0,20221202,20231209
13,1,1,1,1,1,1,1,20221202,20231209
14,1,1,1,1,1,1,0,20221202,20231209
15,1,1,1,1,1,1,1,20221202,20231209
16,0,0,0,0,0,1,1,20221202,20231209
17,1,1,1,1,1,0,1,20221202,20231209
18,0,0,0,0,0,1,1,20221202,20231209
19,1,1,1,1,1,1,0,20221202,20231209
20,0,0,0,0,0,1,0,20221202,20231209
21,0,1,1,1,1,0,0,20221202,20231209
22,1,0,0,0,0,0,0,20221202,20231209
23,1,1,1,1,1,1,0,20221202,20231209
24,0,0,0,0,0,0,0,20221202,20231209
25,0,0,0,0,0,0,0,20221202,20231209
26,1,1,1,1,1,1,1,20221202,20231209
27,0,0,0,0,0,0,1,20221202,20231209
28,0,1,1,0,0,0,0,20221202,20231209
29,1,0,0,1,1,0,0,20221202,20231209
30,1,1,1,0,0,0,0,20221202,20231209
31,0,0,0,0,0,0,0,20221202,20231209
32,0,0,0,0,0,1,0,20221202,20231209
33,0,0,0,0,0,1,1,20221202,20231209
34,0,0,0,0,0,0,0,20221202,20231209
35,0,0,0,0,0,0,0,20221202,20231209
36,1,1,1,1,1,1,1,20221202,20231209
37,1,1,1,1,1,1,1,20221202,20231209
38,1,1,1,1,1,1,1,20221202,20231209
39,0,0,0,0,0,0,1,20221202,20231209
40,0,0,0,0,0,0,0,20221202,20231209
41,1,1,1,1,1,1,1,20221202,20231209
42,1,1,1,1,1,1,0,20221202,20231209
43,1,1,1,1,1,0,0,20221202,20231209
44,0,0,0,0,0,0,0,20221202,20231209
45,0,0,0,0,0,0,0,20221202,20231209
46,0,0,0,0,0,0,0,20221202,20231209
47,0,0,0,0,0,0,0,20221202,20231209
48,0,0,0,0,0,0,0,20221202,20231209
49,0,0,0,0,0,0,0,20221202,20231209
50,0,0,0,0,1,0,0,20221202,20231209
51,0,0,0,1,0,0,0,20221202,20231209
52,0,0,1,0,0,0,0,20221202,20231209
53,0,1,0,0,0,0,0,20221202,20231209
54,1,0,0,0,0,0,0,20221202,20231209
55,0,0,0,0,0,1,0,20221202,20231209
56,0,1,1,1,0,0,0,20221202,20231209
57,1,1,1,0,1,0,0,20221202,20231209
58,0,0,0,1,0,0,0,20221202,20231209
59,0,0,0,0,1,0,0,20221202,20231209
60,0,0,1,0,0,0,0,20221202,20231209
61,0,1,0,0,0,0,0,20221202,20231209
62,0,0,0,0,1,0,0,20221202,20231209
63,0,0,0,1,0,0,0,20221202,20231209
64,1,0,0,0,0,0,0,20221202,20231209
65,1,1,0,0,0,0,0,20221202,20231209
66,0,0,0,0,0,0,0,20221202,20231209
67,0,0,0,0,0,0,0,20221202,20231209
68,0,0,0,0,0,0,0,20221202,20231209
69,0,0,0,0,0,0,0,20221202,20231209
70,0,0,0,0,0,0,0,20221202,20231209
71,0,0,0,0,0,0,0,20221202,20231209
72,0,0,0,0,0,1,0,20221202,20231209
73,1,1,1,1,1,1,1,20221202,20231209
74,1,1,1,1,1,1,1,20221202,20231209
75,0,0,0,0,0,1,1,20221202,20231209
76,1,1,1,1,1,1,1,20221202,20231209
77,0,0,0,0,1,0,0,20221202,20231209
78,1,1,1,1,0,0,0,20221202,20231209
79,0,0,0,0,1,0,0,20221202,20231209
80,0,0,0,0,1,1,0,20221202,20231209
81,0,0,0,0,0,0,0,20221202,20231209
82,0,0,0,0,0,0,1,20221202,20231209
83,0,0,0,0,1,1,0,20221202,20231209
84,0,0,1,0,0,0,0,20221202,20231209
85,0,0,0,0,0,0,0,20221202,20231209
86,0,1,0,0,1,0,0,20221202,20231209
87,1,0,1,1,0,0,0,20221202,20231209
88,1,1,1,1,1,1,0,20221202,20231209
89,1,1,1,1,1,1,1,20221202,20231209
90,0,0,0,0,0,0,0,20221202,20231209
91,0,0,0,0,0,1,0,20221202,20231209
92,0,0,0,0,0,0,0,20221202,20231209
93,0,0,0,0,0,1,0,20221202,20231209
94,1,1,1,1,1,1,0,20221202,20231209
95,1,1,1,1,1,1,0,20221202,20231209
96,0,0,0,0,1,1,0,20221202,20231209
97,1,0,0,0,1,0,0,20221202,20231209
98,0,0,0,0,1,1,0,20221202,20231209
99,1,1,1,1,1,1,1,20221202,20231209
100,0,0,0,0,0,1,0,20221202,20231209
101,1,1,1,1,1,1,0,20221202,20231209
102,0,0,0,0,0,1,0,20221202,20231209
103,1,1,1,1,1,0,0,20221202,20231209
104,1,1,1,1,1,0,0,20221202,20231209
105,1,0,0,1,1,0,0,20221202,20231209
106,0,1,1,1,0,0,0,20221202,20231209
107,1,1,1,1,0,0,0,20221202,20231209
108,1,1,1,1,1,0,0,20221202,20231209
109,0,0,0,0,1,0,0,20221202,20231209
110,0,0,0,0,0,0,0,20221202,20231209
111,1,1,1,1,1,0,0,20221202,20231209
112,0,0,0,0,0,0,0,20221202,20231209
113,0,0,0,0,0,0,0,20221202,20231209
114,0,0,0,0,0,0,0,20221202,20231209
115,1,0,0,0,0,0,0,20221202,20231209
116,1,1,1,1,1,0,0,20221202,20231209
117,1,1,1,1,1,0,0,20221202,20231209
118,0,1,0,0,0,0,0,20221202,20231209
119,0,1,1,1,1,0,0,20221202,20231209
120,1,1,1,1,0,0,0,20221202,20231209
121,0,0,0,0,0,0,0,20221202,20231209
122,0,0,0,0,0,0,0,20221202,20231209
123,0,0,0,0,1,0,0,20221202,20231209
124,1,1,1,1,0,0,0,20221202,20231209
125,0,0,0,0,0,0,0,20221202,20231209
126,0,0,0,0,0,0,0,20221202,20231209
127,0,0,0,0,0,0,0,20221202,20231209
128,0,1,1,1,0,0,0,20221202,20231209
129,0,0,1,0,0,0,0,20221202,20231209
130,0,0,0,0,0,1,0,20221202,20231209
131,0,0,0,0,0,0,0,20221202,20231209
132,1,1,1,1,1,1,1,20221202,20231209
133,1,1,1,1,1,1,0,20221202,20231209
134,0,0,0,0,0,0,0,20221202,20231209
135,1,0,1,0,0,0,0,20221202,20231209
136,0,1,0,1,0,0,0,20221202,20231209
137,1,1,1,1,1,0,0,20221202,20231209
138,1,0,1,1,0,0,0,20221202,20231209
139,1,1,1,1,1,0,0,20221202,20231209
140,0,0,0,0,0,0,0,20221202,20231209
141,0,0,1,0,0,0,0,20221202,20231209
142,1,1,0,1,0,0,0,20221202,20231209
143,0,0,0,0,0,0,0,20221202,20231209
144,0,0,0,0,0,1,0,20221202,20231209
145,1,1,1,1,1,0,0,20221202,20231209
146,0,0,0,0,0,0,0,20221202,20231209
