"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"11261_3",356,"6193","Itzehoe > Westermoor > Bf. Wrist",3,"","",""
"11186_3",356,"6192","Brokstedt > Rosdorf > Kellinghusen",3,"","",""
"11185_3",356,"6191","Hohenwestedt > Rosdorf > Bf. Wrist",3,"","",""
"11183_3",356,"6182","Kellinghusen> Wrist > Kellinghusen",3,"","",""
"11182_3",356,"6181","Lohbarbek >Hohenlockstedt",3,"","",""
"11181_3",356,"6180","Itzehoe > Hohenlockstedt > Wrist",3,"","",""
"11310_3",366,"6580","Glückstadt > Wewelsfleth > Brokdorf",3,"","",""
"11309_3",366,"6560","Glückstadt > Kiebitzreihe > Elmshorn",3,"","",""
"11308_3",366,"6557","Steinburg > Horst > Elmshorn",3,"","",""
"11307_3",366,"6555","Horst > Kiebitzreihe > Sommerland > Neuenbrook",3,"","",""
"11306_3",366,"6554","Hohenfelde > Rethwisch",3,"","",""
"11305_3",366,"6553","Itzehoe > Breitenburg > Lägerdorf > Rethwisch",3,"","",""
"11304_3",366,"6551","Lägerdorf > Hohenfelde > Horst > Elmshorn",3,"","",""
"11303_3",366,"6550","Itzehoe > Rethwisch >Horst > Elmshorn",3,"","",""
"11301_3",366,"6532","Steindeich - Kollmar Schule",3,"","",""
"11300_3",366,"6530","Glückstadt > Kollmar > Neuendorf > Elmshorn",3,"","",""
"11299_3",366,"6527","Neuenbrook > Rethwisch, Schule > Krempe, Schulzentrum",3,"","",""
"11298_3",366,"6525","Itzehoe, ZOB > Horst > Elmshorn",3,"","",""
"11297_3",366,"6520","Itzehoe, ZOB > Bf. Krempe > Glückstadt",3,"","",""
"11296_3",366,"6106","Itzehoe, ZOB > Heiligenstedten > Itzehoe, ZOB",3,"","",""
"11295_3",366,"6105","Itzehoe > Bf. Kremperheide >  Neuenkirchen",3,"","",""
"11294_3",366,"6104"," Maria-Bornheim-Weg (Klinikum) > Itzehoe, ZOB > Oelixdorf",3,"","",""
"11293_3",366,"6103","Bachstraße (West) >ZOB > Marie-Curie-Ring",3,"","",""
"11292_3",366,"6102","Heiligenstedtenerkamp, Mittelstraße > Itzehoe, ZOB > Itzehoe IZET",3,"","",""
"11291_3",366,"6101","ZOB > Berufsbildungszentrum RBZ > ZOB		",3,"","",""
"11229_3",358,"6173","Vaalermoor > Nutteln > Wacken > Schenefeld, Schule",3,"","",""
"11228_3",358,"6172","Wacken, Schulen > Besdorf > Wacken, Schulen",3,"","",""
"11227_3",358,"6171","Itzehoe < Oldendorf > Bekdorf",3,"","",""
"11226_3",358,"6170","Itzehoe, ZOB > Wacken > Besdorf",3,"","",""
"11225_3",358,"6162","Wacken > Warringholz > Aasbüttel >Schenefeld",3,"","",""
"11224_3",358,"6161","Schenefeld > Reher > Puls > Schenefeld",3,"","",""
