"from_stop_id","to_stop_id","transfer_type","min_transfer_time","from_route_id","to_route_id","from_trip_id","to_trip_id"
"000000320149","000000320149",2,120,,,,
"000000320150","000000320150",2,120,,,,
"000000410009","000000410009",2,120,,,,
"000000510015","000000510015",2,120,,,,
"000000510030","000000510030",2,120,,,,
"000000520032","000000520032",2,120,,,,
"000000520033","000000520033",2,120,,,,
"000000520035","000000520035",2,120,,,,
"000000520036","000000520036",2,120,,,,
"000000920042","000000920042",2,120,,,,
"de:01057:3365","720000430021",2,240,,,,
"000008000050","000008000050",2,480,,,,
"000008000088","000008000088",2,240,,,,
"000008000103","000008000103",2,300,,,,
"de:03241:31","de:03241:31",2,480,,,,
"000008000155","000008000155",2,300,,,,
"000008000168","000008000168",2,360,,,,
"000008000168","000008089225",2,360,,,,
"000008000181","000008000181",2,300,,,,
"000008000199","000008000199",2,300,,,,
"000008000199","720000400441",2,240,,,,
"000008000199","720000400442",2,240,,,,
"000008000237","000008000237",2,240,,,,
"000008000237","de:01003:58085::2",2,300,,,,
"000008000237","de:01003:58085::14",2,300,,,,
"000008000237","de:01003:58085::16",2,300,,,,
"000008000237","de:01003:58085::18",2,300,,,,
"000008000237","de:01003:58085::15",2,300,,,,
"000008000271","000008000271",2,300,,,,
"000008000271","de:01004:66244::1",2,180,,,,
"000008000271","720000350191",2,180,,,,
"000008000271","720000350192",2,180,,,,
"000008000271","000008000271_G",1,,,,,
"000008000312","000008000312",2,240,,,,
"000008000321","000008000321",2,300,,,,
"de:01059:47298","de:01059:47298",2,300,,,,
"de:01055:6090","de:01055:6090",2,300,,,,
"de:01054:6219","de:01054:6219",2,300,,,,
"de:01054:6220","de:01054:6220",2,300,,,,
"000008000815","000008000815",2,300,,,,
"000008000935","000008000935",2,240,,,,
"000008000955","000008000955",2,180,,,,
"de:01058:11755","de:01058:11755",2,300,,,,
"de:01054:13478","de:01054:13478",2,300,,,,
"de:01051:15946","de:01051:15946",2,300,,,,
"000008001316","000008001316",2,300,,,,
"000008001352","000008001352",2,240,,,,
"de:03358:20977","de:03358:20977",2,300,,,,
"de:01058:22679","de:01058:22679",2,300,,,,
